"","product_id","year","month","total_sales"
"1","Z467H                    ",2018,1,1022.72998046875
"2","Z458E                    ",2018,1,1166.40002441406
"3","Z359E                    ",2018,1,670.109985351562
"4","Z357E                    ",2018,1,665.280029296875
"5","Z3170H                   ",2018,1,978.22998046875
"6","Z1930G                   ",2018,1,153.899993896484
"7","Y442H                    ",2018,1,9678.65997314453
"8","Y432H                    ",2018,1,1196.64001464844
"9","Y416H                    ",2018,1,237.030006408691
"10","Y3050H                   ",2018,1,85.6600036621094
"11","Y219H                    ",2018,1,77.5299987792969
"12","W9930                    ",2018,1,27.5
"13","W9865T                   ",2018,1,83.4000015258789
"14","W9756                    ",2018,1,1147.22998046875
"15","W9365                    ",2018,1,82.0800018310547
"16","W9235T                   ",2018,1,110.680000305176
"17","W9211H                   ",2018,1,320.650001525879
"18","W9106                    ",2018,1,22.6299991607666
"19","W9101H                   ",2018,1,164.089996337891
"20","W893                     ",2018,1,101.019996643066
"21","W8718                    ",2018,1,46.2000007629395
"22","W8684                    ",2018,1,21.2600002288818
"23","W8534                    ",2018,1,82.8899993896484
"24","W8330                    ",2018,1,94.3899993896484
"25","W812                     ",2018,1,169.830005645752
"26","W786                     ",2018,1,54
"27","W766                     ",2018,1,48.8199996948242
"28","W742                     ",2018,1,160.869997024536
"29","W738                     ",2018,1,202.560005187988
"30","W6977                    ",2018,1,229.149997711182
"31","W621                     ",2018,1,54.7599983215332
"32","W502H                    ",2018,1,54.4199981689453
"33","W486                     ",2018,1,100.030002593994
"34","W334H                    ",2018,1,43.25
"35","W2850                    ",2018,1,487.470001220703
"36","W2829                    ",2018,1,414.06999206543
"37","W224                     ",2018,1,23.4300003051758
"38","W10B54                   ",2018,1,491.359985351562
"39","VS302.016                ",2018,1,81
"40","VS210.014                ",2018,1,209
"41","VS208.011                ",2018,1,378
"42","VS207.014                ",2018,1,341
"43","VS206.020                ",2018,1,408
"44","VS112.009                ",2018,1,862
"45","VP4402.R4                ",2018,1,1315
"46","VP4312.07                ",2018,1,1652.40002441406
"47","VP4041.10                ",2018,1,806
"48","VP4031.07                ",2018,1,2004
"49","VCP497H                  ",2018,1,253.559997558594
"50","VCP496H                  ",2018,1,173.570007324219
"51","VCP443H                  ",2018,1,811.300003051758
"52","VCP372H                  ",2018,1,955.080017089844
"53","VCP348H                  ",2018,1,786.190002441406
"54","VCP334H                  ",2018,1,1510.86999511719
"55","V998H                    ",2018,1,94.379997253418
"56","V9450H                   ",2018,1,587.870002746582
"57","V925H                    ",2018,1,342.410003662109
"58","V645H                    ",2018,1,51.2999992370605
"59","V634H                    ",2018,1,1612.99000549316
"60","V625E                    ",2018,1,890.880004882812
"61","V581G                    ",2018,1,318.709991455078
"62","V551G                    ",2018,1,134.949996948242
"63","V546G                    ",2018,1,2841.47998046875
"64","V494H                    ",2018,1,1563.53999328613
"65","V4940H                   ",2018,1,1775.66002655029
"66","V4930H                   ",2018,1,3812.26002502441
"67","V4721H                   ",2018,1,388.470008850098
"68","V466H                    ",2018,1,963.230003356934
"69","V4160H                   ",2018,1,946.250015258789
"70","V398H                    ",2018,1,2182.00006103516
"71","V375H                    ",2018,1,874.440002441406
"72","V371H                    ",2018,1,3238.16998291016
"73","V352H                    ",2018,1,1706.50999832153
"74","V334H                    ",2018,1,2153.64002227783
"75","V327H                    ",2018,1,706.440002441406
"76","V304H                    ",2018,1,309.479995727539
"77","V219H                    ",2018,1,1557.5400390625
"78","V140G                    ",2018,1,3242.61004638672
"79","V1059H                   ",2018,1,1611.68000030518
"80","UPLUG556                 ",2018,1,360
"81","UPA612                   ",2018,1,69.9499969482422
"82","U11C                     ",2018,1,159.540000915527
"83","TCT55                    ",2018,1,3825.54000854492
"84","SXPP1A401                ",2018,1,1350
"85","SXPD2B414                ",2018,1,207
"86","SSR10035720              ",2018,1,525
"87","SRC14060920              ",2018,1,1030
"88","SR75                     ",2018,1,8935.19995117188
"89","SNGCB                    ",2018,1,16056
"90","RSZ2501                  ",2018,1,1435.11999511719
"91","RSZ1159                  ",2018,1,1435.11999511719
"92","PXW35                    ",2018,1,4997
"93","PSEE60A                  ",2018,1,24112.7999267578
"94","PML1                     ",2018,1,1496
"95","PHSL1                    ",2018,1,1331.51998901367
"96","PDP339H                  ",2018,1,1163
"97","PCEE45A                  ",2018,1,5108.39990234375
"98","PC410062630              ",2018,1,585
"99","PC410051730              ",2018,1,585
"100","NTLC75                   ",2018,1,3570
"101","MS0002                   ",2018,1,3248.71008300781
"102","MPY496H                  ",2018,1,4564.57995605469
"103","MPY493H                  ",2018,1,4758.04992675781
"104","MPP8699H                 ",2018,1,1189.92004394531
"105","MOFSUT                   ",2018,1,800
"106","MCP496H                  ",2018,1,2108.8798828125
"107","JE2672H                  ",2018,1,1233.46997070312
"108","HAR17F                   ",2018,1,5100
"109","GST60B                   ",2018,1,28996.4399414062
"110","GST45W                   ",2018,1,3600
"111","FLR01                    ",2018,1,180
"112","F3223                    ",2018,1,116.520000457764
"113","F3209                    ",2018,1,37.4900016784668
"114","F1746                    ",2018,1,246.440002441406
"115","ET007521                 ",2018,1,1950
"116","ES163H                   ",2018,1,516.840026855469
"117","ER320                    ",2018,1,926.700012207031
"118","EPS07                    ",2018,1,2898
"119","EPH02                    ",2018,1,6704.46020507812
"120","EL5ML                    ",2018,1,21634.3500366211
"121","EJ11                     ",2018,1,148.889999389648
"122","EH8020H                  ",2018,1,643.340026855469
"123","EH7149G                  ",2018,1,252.699996948242
"124","EH7145H                  ",2018,1,784.440002441406
"125","EH6455H                  ",2018,1,617.400024414062
"126","EB11                     ",2018,1,213.460006713867
"127","D133602                  ",2018,1,1450
"128","CSP10025030              ",2018,1,2500
"129","CFS10040830              ",2018,1,638
"130","CDX18124230              ",2018,1,679.25
"131","CDF10040830              ",2018,1,2084
"132","CDF10025430              ",2018,1,521
"133","CB5ST                    ",2018,1,2484
"134","C1041                    ",2018,1,1971.7900390625
"135","BP360                    ",2018,1,6949
"136","BLU-7                    ",2018,1,1165
"137","BE3294G                  ",2018,1,1448.36999511719
"138","BCC2                     ",2018,1,143.230003356934
"139","BA2574H                  ",2018,1,961.450012207031
"140","B5LT                     ",2018,1,9397.5
"141","B15LT                    ",2018,1,930
"142","AHV6                     ",2018,1,645.690002441406
"143","960781",2018,1,450
"144","960087",2018,1,919.539978027344
"145","8699H                    ",2018,1,1132.19995117188
"146","8684H                    ",2018,1,727.299987792969
"147","8661H                    ",2018,1,2991.07000732422
"148","866029",2018,1,1135.92004394531
