Functional_Area;Operating_Company;Service_Type;Ticket_Category;Ticket_Resolution;IRIS.Incident.Number;Priority;Prediction
FUN;DCF;FUN;SR;OK;42372,57569;Priority 3;OK
DCF;DCF;FUN;SR;OK;42373,21181;Priority 3;OK
SEC;DCF;SEC;SR;OK;42373,33403;Priority 3;OK
SEC;DCF;SEC;SR;OK;42373,41736;Priority 3;OK
DCF;DCF;FUN;SR;Defect;42373,42431;Priority 3;OK
SEC;DCF;SEC;SR;OK;42373,425;Priority 4;OK
FUN;DCF;FUN;SR;Defect;42373,43125;Priority 3;OK
SEC;DCF;SEC;SR;OK;42373,45208;Priority 3;OK
SEC;EES;SEC;SR;OK;42373,69495;Priority 3;OK
DCF;DCF;FUN;SR;Defect;42373,79236;Priority 3;OK
SEC;DCF;SEC;SR;OK;42374,36458;Priority 3;OK
SEC;DCF;SEC;SR;OK;42374,36528;Priority 3;OK
SEC;DCF;SEC;SR;OK;42374,38542;Priority 3;OK
SEC;DCF;SEC;SR;OK;42374,55486;Priority 4;OK
SEC;EES;SEC;SR;OK;42374,59911;Priority 3;OK
SEC;DCF;SEC;SR;OK;42374,60069;Priority 4;OK
FUN;DCF;FUN;SR;Defect;42374,83194;Priority 3;OK
SEC;DCF;SEC;SR;OK;42375,23194;Priority 4;OK
DCF;DCF;FUN;SR;OK;42375,23472;Priority 3;OK
SEC;DCF;SEC;SR;Defect;42375,23542;Priority 3;OK
SEC;DCF;SEC;SR;OK;42375,33542;Priority 4;OK
SEC;DCF;SEC;SR;OK;42375,36875;Priority 3;OK
FUN;DCF;FUN;SR;OK;42375,37569;Priority 3;OK
SEC;DCF;SEC;SR;OK;42375,43542;Priority 4;OK
DCF;DCF;FUN;SR;OK;42375,43958;Priority 4;OK
SEC;DCF;SEC;SR;OK;42375,56319;Priority 4;OK
SEC;EES;SEC;SR;OK;42376,03356;Priority 3;OK
SEC;DCF;SEC;SR;OK;42376,22014;Priority 4;OK
SEC;DCF;SEC;SR;OK;42376,25625;Priority 3;OK
TEC;DCF;TEC;SR;Defect;42376,40208;Priority 3;OK
FUN;DCF;FUN;SR;OK;42376,40556;Priority 3;OK
SEC;EES;SEC;SR;OK;42376,4439;Priority 3;OK
SEC;DCF;SEC;SR;OK;42376,64583;Priority 3;OK
SEC;DCF;SEC;SR;OK;42377,15833;Priority 3;OK
SEC;EES;SEC;SR;OK;42377,42622;Priority 3;OK
SEC;EES;SEC;SR;OK;42377,42865;Priority 3;OK
